Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.26     2.96    0.52    1.20    27.02    33.30    35.14     0.15   86.39   3.51   0.60
dm-0              0.00     0.00    0.64    4.16    26.60    33.30    12.49     0.59  122.20   1.25   0.60
dm-1              0.00     0.00    0.01    0.00     0.07     0.00     8.00     0.00    4.00   3.02   0.00
dm-2              0.00     0.00    0.00    0.00     0.03     0.00     8.00     0.00    4.14   3.09   0.00
md0               0.00     0.00 9491.71 5633.33 165000.77 76921.33    15.99     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1095.07 28651.30   23.80 229210.40  8949.73     8.31     7.65    0.27   0.03  99.70
sdc               0.00     0.20    0.00    1.32     0.00   351.33   266.84     0.00    2.52   0.25   0.03
sde               0.00  1087.70 28655.67   19.17 229245.33  8854.93     8.30     4.66    0.17   0.03  98.91
sdd               0.00  1093.63 28641.05   20.58 229128.27  8913.73     8.31     4.61    0.16   0.03  98.74
sdf               0.00  1087.12 28684.73   17.95 229477.60  8840.53     8.30     7.34    0.26   0.03  99.67
sda               0.00     0.72    0.00    0.88     0.00    12.80    14.49     0.01   13.92   6.36   0.56
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.02   13.41   3.50   0.56
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 114633.68 4444.87 917069.20 35558.93     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1081.57 28730.53   23.25 229844.27  8837.73     8.30     7.60    0.27   0.03  99.70
sdc               0.00     0.20    0.00    0.80     0.00     7.27     9.08     0.00    0.00   0.00   0.00
sde               0.00  1074.17 28682.98   19.08 229463.87  8776.67     8.30     4.62    0.17   0.03  98.86
sdd               0.00  1078.93 28680.43   20.07 229443.47  8825.60     8.30     4.59    0.16   0.03  98.74
sdf               0.00  1076.37 28691.12   17.80 229528.93  8772.27     8.30     7.29    0.26   0.03  99.66
sda               0.00     0.68    0.13    0.82     4.00    12.00    16.84     0.01   11.86   6.61   0.63
dm-0              0.00     0.00    0.13    1.50     4.00    12.00     9.80     0.02   12.67   3.84   0.63
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 114785.80 4384.43 918286.40 35075.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.10 29031.82    0.45 232254.53     3.47     8.00     7.59    0.27   0.03  99.76
sdc               0.00     0.00    0.00    0.18     0.00     1.50     8.18     0.00    0.00   0.00   0.00
sde               0.00     0.23 29021.68    0.53 232173.47     6.13     8.00     4.61    0.16   0.03  98.98
sdd               0.00     0.05 29022.65    0.18 232181.20     1.87     8.00     4.59    0.16   0.03  98.95
sdf               0.00     0.00 29028.17    0.00 232225.33     0.00     8.00     7.24    0.25   0.03  99.71
sda               0.00     0.50    0.13    0.93     4.00    11.47    14.50     0.01   12.16   6.53   0.70
dm-0              0.00     0.00    0.13    1.43     4.00    11.47     9.87     0.02   13.16   4.45   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 116103.45    1.43 928827.87    11.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.10 28922.40    0.52 231379.20     3.73     8.00     7.60    0.27   0.03  99.70
sdc               0.00     0.03    0.00    0.50     0.00     4.32     8.63     0.00    0.07   0.03   0.00
sde               0.00     0.38 28999.67    0.95 231997.33    10.67     8.00     4.63    0.16   0.03  98.85
sdd               0.00     0.00 28973.25    0.02 231786.00     0.13     8.00     4.60    0.16   0.03  98.87
sdf               0.00     0.00 29054.85    0.00 232438.80     0.00     8.00     7.27    0.25   0.03  99.67
sda               0.00     0.58    0.00    1.22     0.00    14.40    11.84     0.02   17.62   7.01   0.85
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.03   18.54   4.74   0.85
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 115950.20    1.82 927601.60    14.53     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02 29000.22    0.52 232001.73     3.20     8.00     7.66    0.27   0.03  99.76
sdc               0.00     0.03    0.00    0.52     0.00     4.67     9.03     0.00    0.16   0.13   0.01
sde               0.00     0.18 28928.30    0.73 231426.40     7.33     8.00     4.61    0.16   0.03  98.93
sdd               0.00     0.00 28921.15    0.02 231369.20     0.13     8.00     4.58    0.16   0.03  98.85
sdf               0.00     0.00 28994.97    0.00 231959.73     0.00     8.00     7.27    0.26   0.03  99.76
sda               0.00     0.58    0.00    1.18     0.00    14.13    11.94     0.02   19.34   7.44   0.88
dm-0              0.00     0.00    0.00    1.77     0.00    14.13     8.00     0.04   20.31   4.98   0.88
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 115844.50    1.33 926755.87    10.67     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.03 30037.15    0.47 240297.20     3.33     8.00     7.94    0.27   0.03  99.82
sdc               0.00     0.02    0.00    0.15     0.00     1.33     8.89     0.00    0.33   0.33   0.01
sde               0.00     0.02 28471.35    0.35 227770.80     2.93     8.00     4.53    0.16   0.03  98.90
sdd               0.00     0.00 28759.75    0.03 230078.00     0.27     8.00     4.54    0.16   0.03  98.80
sdf               0.00     0.00 28420.37    0.00 227362.93     0.00     8.00     7.06    0.25   0.04  99.70
sda               0.00     0.43    0.00    0.95     0.00    11.07    11.65     0.02   16.40   7.68   0.73
dm-0              0.00     0.00    0.00    1.38     0.00    11.07     8.00     0.02   16.61   5.28   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 115688.72    0.82 925509.60     6.53     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.05 29607.90    0.35 236863.20     2.40     8.00     7.76    0.27   0.03  99.78
sdc               0.00     0.03    0.00    0.30     0.00     2.52     8.39     0.00    0.00   0.00   0.00
sde               0.00     0.02 28822.85    0.42 230582.80     3.47     8.00     4.61    0.16   0.03  98.90
sdd               0.00     0.00 29282.73    0.02 234261.87     0.13     8.00     4.66    0.16   0.03  98.93
sdf               0.00     0.00 28326.93    0.00 226615.47     0.00     8.00     7.05    0.25   0.04  99.69
