procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 514122400 771108 7890144    0    0   748   718    6    0  0  1 97  1  0	
 2  1      0 513930240 771152 8011868    0    0 19716 13896 11120 17017  0  0 98  1  0	
 2  1      0 513930528 771192 8011700    0    0 19943  9352 11523 16894  0  0 98  1  0	
 3  1      0 513933600 771216 8011744    0    0 22229  8676 8872 18328  0  0 98  1  0	
 1  1      0 513934432 771260 8011796    0    0 21646  1283 7742 17091  0  0 98  1  0	
 1  1      0 513938048 771308 8011844    0    0 22037    11 7773 17257  0  0 98  1  0	
 1  1      0 513937856 771348 8011892    0    0 22443     8 7907 17558  0  0 98  1  0	
 1  1      0 513934048 771364 8011944    0    0 22588    10 7909 17686  0  0 98  1  0	
 1  1      0 513932352 771408 8011984    0    0 22072    10 7755 17285  0  0 98  1  0	
