Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.50     0.00     4.00     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.03    0.00    0.42     0.00     3.33     8.00     0.00    0.12   0.08   0.00
sde               0.00     0.10    0.00    0.17     0.00     2.13    12.80     0.00    1.20   0.50   0.01
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.70    0.00    1.08     0.00    14.27    13.17     0.02   19.49   6.77   0.73
dm-0              0.00     0.00    0.00    1.78     0.00    14.27     8.00     0.03   18.84   4.11   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.43     0.00     3.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00    0.00    0.12     0.00     0.53     4.57     0.00    1.29   0.43   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.15    0.00    0.18     0.00     2.67    14.55     0.00    0.82   0.64   0.01
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.48    0.00    0.80     0.00    10.27    12.83     0.01   12.33   6.69   0.53
dm-0              0.00     0.00    0.00    1.28     0.00    10.27     8.00     0.02   12.55   4.18   0.54
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.48     0.00     3.87     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.13     0.00     0.80     6.00     0.00    1.50   0.75   0.01
sdc               0.00     0.02    0.00    0.28     0.00     2.72     9.59     0.00    0.29   0.29   0.01
sde               0.00     0.13    0.00    0.22     0.00     2.80    12.92     0.00    0.77   0.31   0.01
sdd               0.00     0.08    0.00    0.02     0.00     0.80    48.00     0.00    1.00   1.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.37    0.00    0.88     0.00    10.00    11.32     0.01   13.13   7.62   0.67
dm-0              0.00     0.00    0.00    1.25     0.00    10.00     8.00     0.02   14.57   5.39   0.67
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.55     0.00     4.40     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.13     0.00     0.80     6.00     0.00    0.00   0.00   0.00
sdc               0.00     0.02    0.00    0.45     0.00     3.60     8.00     0.00    0.04   0.04   0.00
sde               0.00     0.00    0.00    0.08     0.00     0.67     8.00     0.00    1.40   1.00   0.01
sdd               0.00     0.07    0.00    0.03     0.00     0.80    24.00     0.00    2.00   2.00   0.01
sdf               0.00     0.15    0.00    0.10     0.00     2.00    20.00     0.00    1.00   1.00   0.01
sda               0.00     0.48    0.00    1.07     0.00    12.40    11.62     0.01   12.47   6.52   0.70
dm-0              0.00     0.00    0.00    1.55     0.00    12.40     8.00     0.02   13.97   4.48   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.53     0.00     4.27     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.10     0.00     0.80     8.00     0.00    2.00   0.83   0.01
sdd               0.00     0.05    0.00    0.03     0.00     0.67    20.00     0.00    1.00   0.50   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    0.75   0.75   0.01
sda               0.00     0.42    0.00    0.85     0.00    10.13    11.92     0.01   14.49   8.18   0.70
dm-0              0.00     0.00    0.00    1.27     0.00    10.13     8.00     0.02   14.54   5.49   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.43     0.00     3.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.00    0.00    0.10     0.00     0.73     7.33     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.00   0.00   0.00
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    0.00   0.00   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    8.50   8.50   0.06
sda               0.00     0.63    0.00    1.13     0.00    14.13    12.47     0.02   13.25   6.85   0.78
dm-0              0.00     0.00    0.00    1.77     0.00    14.13     8.00     0.02   14.02   4.40   0.78
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00    0.00    0.12     0.00     0.53     4.57     0.00    1.29   0.43   0.01
sdc               0.00     0.02    0.00    0.43     0.00     3.33     7.69     0.00    0.04   0.04   0.00
sde               0.00     0.03    0.00    0.05     0.00     0.67    13.33     0.00    1.33   1.33   0.01
sdd               0.00     0.08    0.00    0.02     0.00     0.80    48.00     0.00    1.00   1.00   0.00
sdf               0.00     0.18    0.00    0.10     0.00     2.27    22.67     0.00    0.67   0.67   0.01
sda               0.00     0.52    0.00    1.12     0.00    13.07    11.70     0.02   17.72   7.06   0.79
dm-0              0.00     0.00    0.00    1.63     0.00    13.07     8.00     0.03   17.17   4.83   0.79
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.53     0.00     4.27     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.02    0.00    0.25     0.00     2.08     8.33     0.00    0.20   0.20   0.01
sde               0.00     0.00    0.00    0.12     0.00     0.93     8.00     0.00    0.00   0.00   0.00
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    0.00   0.00   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    0.50   0.50   0.00
sda               0.00     0.37    0.00    1.02     0.00    11.07    10.89     0.02   16.07   7.90   0.80
dm-0              0.00     0.00    0.00    1.38     0.00    11.07     8.00     0.02   15.82   5.81   0.80
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.00    0.00    0.13     0.00     1.27     9.50     0.00    0.12   0.12   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.67   0.33   0.00
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    0.75   0.75   0.01
sda               0.00     0.45    0.00    0.95     0.00    11.20    11.79     0.01   14.40   6.89   0.66
dm-0              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   13.94   4.68   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.03    0.00    0.42     0.00     3.33     8.00     0.00    0.04   0.04   0.00
sde               0.00     0.02    0.00    0.03     0.00     0.40    12.00     0.00    0.00   0.00   0.00
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    0.00   0.00   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    0.75   0.75   0.01
sda               0.00     0.68    0.00    0.92     0.00    12.93    14.11     0.01   14.47   6.82   0.62
dm-0              0.00     0.00    0.00    1.62     0.00    12.93     8.00     0.02   14.23   3.87   0.62
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00    0.00    0.08     0.00     0.27     3.20     0.00    0.60   0.60   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.02    0.00    0.05     0.00     0.53    10.67     0.00    1.33   1.33   0.01
sdd               0.00     0.08    0.00    0.02     0.00     0.80    48.00     0.00    1.00   1.00   0.00
sdf               0.00     0.17    0.00    0.10     0.00     2.13    21.33     0.00    0.83   0.83   0.01
sda               0.00     0.35    0.00    0.97     0.00    10.53    10.90     0.01   14.79   7.72   0.75
dm-0              0.00     0.00    0.00    1.32     0.00    10.53     8.00     0.02   15.41   5.67   0.75
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.47     0.00     3.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.12     0.00     0.67     5.71     0.00    1.29   0.43   0.01
sdc               0.00     0.00    0.00    0.10     0.00     0.75     7.50     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.08     0.00     0.67     8.00     0.00    1.60   1.40   0.01
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    0.00   0.00   0.00
sdf               0.00     0.17    0.00    0.10     0.00     2.13    21.33     0.00    0.83   0.83   0.01
sda               0.00     0.40    0.00    0.90     0.00    10.40    11.56     0.01   14.15   7.93   0.71
dm-0              0.00     0.00    0.00    1.30     0.00    10.40     8.00     0.02   13.83   5.49   0.71
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.52     0.00     4.13     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    1.50   0.50   0.01
sdc               0.00     0.05    0.00    0.62     0.00     5.38     8.73     0.00    0.03   0.03   0.00
sde               0.00     0.00    0.00    0.10     0.00     0.80     8.00     0.00    1.67   0.67   0.01
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sdf               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    1.00   1.00   0.01
sda               0.00     0.43    0.00    0.98     0.00    11.33    11.53     0.01   15.14   7.08   0.70
dm-0              0.00     0.00    0.00    1.42     0.00    11.33     8.00     0.02   15.88   4.92   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.43     0.00     3.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.08    0.00    0.22     0.00     2.00     9.23     0.00    0.23   0.23   0.01
sdc               0.00     0.00    0.00    0.08     0.00     0.37     4.40     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    1.25   1.25   0.01
sdd               0.00     0.07    0.00    0.02     0.00     0.67    40.00     0.00    1.00   1.00   0.00
sdf               0.00     0.05    0.00    0.02     0.00     0.53    32.00     0.00    1.00   1.00   0.00
sda               0.00     0.55    0.00    0.93     0.00    11.87    12.71     0.01   12.88   7.11   0.66
dm-0              0.00     0.00    0.00    1.48     0.00    11.87     8.00     0.02   14.89   4.47   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.47     0.00     3.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.20    0.00    0.28     0.00     3.47    12.24     0.00    0.76   0.41   0.01
sdc               0.00     0.00    0.00    0.10     0.00     0.73     7.33     0.00    0.17   0.17   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    1.25   1.00   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.42    0.00    1.03     0.00    11.60    11.23     0.02   15.90   7.31   0.76
dm-0              0.00     0.00    0.00    1.45     0.00    11.60     8.00     0.02   16.86   5.21   0.76
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.50     0.00     4.00     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.17    0.00    0.22     0.00     2.80    12.92     0.00    0.15   0.15   0.00
sdc               0.00     0.03    0.00    0.42     0.00     3.35     8.04     0.00    0.12   0.08   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.67   0.33   0.00
sdd               0.00     0.00    0.00    0.02     0.00     0.13     8.00     0.00    3.00   3.00   0.01
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.60    0.00    1.20     0.00    14.40    12.00     0.02   16.74   7.56   0.91
dm-0              0.00     0.00    0.00    1.80     0.00    14.40     8.00     0.03   17.64   5.04   0.91
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.42     0.00     3.33     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.18    0.00    0.28     0.00     3.33    11.76     0.00    0.59   0.24   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    1.25   1.00   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.57    0.00    0.88     0.00    11.60    13.13     0.01   12.30   7.15   0.63
dm-0              0.00     0.00    0.00    1.45     0.00    11.60     8.00     0.02   13.15   4.36   0.63
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.48     0.00     3.87     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.23    0.00    0.27     0.00     3.60    13.50     0.00    0.56   0.19   0.01
sdc               0.00     0.02    0.00    0.28     0.00     2.73     9.65     0.00    0.24   0.24   0.01
sde               0.00     0.00    0.00    0.12     0.00     0.93     8.00     0.00    2.14   1.14   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.38    0.00    0.87     0.00    10.00    11.54     0.01   14.42   7.85   0.68
dm-0              0.00     0.00    0.00    1.25     0.00    10.00     8.00     0.02   15.47   5.44   0.68
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.57     0.00     4.53     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.17    0.00    0.20     0.00     2.67    13.33     0.00    0.92   0.33   0.01
sdc               0.00     0.02    0.00    0.45     0.00     3.60     8.00     0.00    0.11   0.07   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    1.25   1.00   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.45    0.00    0.97     0.00    11.33    11.72     0.01   14.45   7.59   0.73
dm-0              0.00     0.00    0.00    1.42     0.00    11.33     8.00     0.02   14.20   5.18   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.40     0.00     3.20     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.15    0.00    0.22     0.00     2.67    12.31     0.00    0.85   0.31   0.01
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.67   0.33   0.00
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.40    0.00    0.97     0.00    10.93    11.31     0.01   13.00   7.31   0.71
dm-0              0.00     0.00    0.00    1.37     0.00    10.93     8.00     0.02   14.24   5.17   0.71
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.18    0.00    0.25     0.00     3.07    12.27     0.00    0.27   0.27   0.01
sdc               0.00     0.00    0.00    0.10     0.00     0.73     7.33     0.00    0.17   0.17   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    0.75   0.75   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.38    0.00    0.95     0.00    10.67    11.23     0.01   14.53   6.77   0.64
dm-0              0.00     0.00    0.00    1.33     0.00    10.67     8.00     0.02   14.76   4.83   0.64
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.23    0.00    0.27     0.00     3.60    13.50     0.00    0.62   0.25   0.01
sdc               0.00     0.03    0.00    0.42     0.00     3.33     8.00     0.00    0.04   0.04   0.00
sde               0.00     0.00    0.00    0.08     0.00     0.67     8.00     0.00    1.60   1.40   0.01
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.68    0.00    1.00     0.00    13.47    13.47     0.02   16.00   7.45   0.74
dm-0              0.00     0.00    0.00    1.68     0.00    13.47     8.00     0.03   16.49   4.43   0.74
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.53     0.00     4.27     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.13    0.00    0.18     0.00     2.27    12.36     0.00    0.91   0.36   0.01
sdc               0.00     0.15    0.00    1.27     0.00   360.78   284.83     0.00    3.05   0.34   0.04
sde               0.00     0.00    0.00    0.10     0.00     0.80     8.00     0.00    2.33   1.00   0.01
sdd               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.32    0.00    0.93     0.00    10.00    10.71     0.01   14.46   7.73   0.72
dm-0              0.00     0.00    0.00    1.25     0.00    10.00     8.00     0.02   14.47   5.77   0.72
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.43     0.00     3.47     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.07    0.00    0.13     0.00     1.33    10.00     0.00    1.12   0.38   0.01
sdc               0.00     0.02    0.00    0.50     0.00     4.42     8.83     0.00    0.03   0.03   0.00
sde               0.00     0.00    0.00    0.05     0.00     0.40     8.00     0.00    0.67   0.33   0.00
sdd               0.00     0.10    0.00    0.07     0.00     1.33    20.00     0.00    0.25   0.25   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.45    0.00    0.95     0.00    11.20    11.79     0.01   14.74   7.93   0.75
dm-0              0.00     0.00    0.00    1.40     0.00    11.20     8.00     0.02   14.15   5.38   0.75
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.38     0.00     3.07     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.05    0.00    0.12     0.00     0.93     8.00     0.00    0.43   0.43   0.01
sdc               0.00     0.02    0.00    0.45     0.00     3.60     8.00     0.00    0.07   0.04   0.00
sde               0.00     0.00    0.00    0.07     0.00     0.53     8.00     0.00    1.25   1.00   0.01
sdd               0.00     0.17    0.00    0.10     0.00     2.13    21.33     0.00    0.17   0.17   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda               0.00     0.60    0.00    0.97     0.00    12.53    12.97     0.01   15.17   6.84   0.66
dm-0              0.00     0.00    0.00    1.57     0.00    12.53     8.00     0.03   17.36   4.22   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00    0.45     0.00     3.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.08    0.00    0.13     0.00     1.47    11.00     0.00    1.12   0.38   0.00
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
