Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sde               0.00  1644.57    0.00  167.63     0.00 14497.60    86.48     0.08    0.47   0.21   3.57
sdd               0.00  1048.67    0.00  152.57     0.00  9609.87    62.99     0.06    0.38   0.17   2.61
sdf               0.00  1575.95    0.00  163.35     0.00 13914.40    85.18     0.09    0.56   0.21   3.49
sda               0.00     0.60    0.00    1.00     0.00    12.80    12.80     0.02   15.43   6.57   0.66
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.03   15.88   4.10   0.66
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 6456.38     0.00 51624.27     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1488.17    0.00  186.40     0.00 13194.93    70.79     0.05    0.26   0.11   2.08
sdc               0.00     0.00    0.00    0.08     0.00     0.72     8.60     0.00    0.00   0.00   0.00
sde               0.00  1627.52    0.00  165.53     0.00 14344.40    86.66     0.08    0.50   0.22   3.64
sdd               0.00  1032.62    0.00  150.93     0.00  9468.40    62.73     0.06    0.43   0.18   2.75
sdf               0.00  1549.23    0.00  161.28     0.00 13684.13    84.85     0.10    0.61   0.23   3.63
sda               0.00     0.63    0.00    1.18     0.00    14.53    12.28     0.02   14.11   7.61   0.90
dm-0              0.00     0.00    0.00    1.82     0.00    14.53     8.00     0.03   15.30   4.95   0.90
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 6339.63     0.00 50691.87     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1461.02    0.00  183.05     0.00 12941.87    70.70     0.05    0.25   0.11   2.05
sdc               0.00     0.02    0.00    0.27     0.00     2.00     7.50     0.00    0.19   0.19   0.01
sde               0.00  1629.67    0.00  172.17     0.00 14414.67    83.73     0.09    0.52   0.21   3.65
sdd               0.00  1011.80    0.00  149.10     0.00  9287.20    62.29     0.06    0.42   0.18   2.68
sdf               0.00  1535.47    0.00  163.83     0.00 13594.40    82.98     0.09    0.57   0.22   3.58
sda               0.00     0.33    0.00    1.08     0.00    11.33    10.46     0.02   16.15   6.57   0.71
dm-0              0.00     0.00    0.00    1.42     0.00    11.33     8.00     0.02   15.58   5.02   0.71
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 6283.15     0.00 50238.13     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1386.98    0.00  171.68     0.00 12277.73    71.51     0.04    0.24   0.11   1.80
sdc               0.00     0.02    0.00    0.43     0.00     3.82     8.81     0.00    0.12   0.08   0.00
sde               0.00  1538.85    0.00  160.40     0.00 13593.60    84.75     0.08    0.50   0.21   3.36
sdd               0.00   975.48    0.00  136.50     0.00  8895.87    65.17     0.07    0.50   0.18   2.48
sdf               0.00  1454.40    0.00  155.62     0.00 12880.13    82.77     0.09    0.57   0.21   3.21
sda               0.00     0.65    0.00    1.20     0.00    14.80    12.33     0.02   15.92   6.94   0.83
dm-0              0.00     0.00    0.00    1.85     0.00    14.80     8.00     0.03   15.82   4.50   0.83
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 5964.37     0.00 47689.33     8.00     0.00    0.00   0.00   0.00

