Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdf             215.12         0.00     19418.53          0    1165112
sda               0.82         0.00        11.07          0        664
dm-0              1.38         0.00        11.07          0        664
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8854.13         0.00     70803.07          0    4248184

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             262.12         0.00     19711.73          0    1182704
sdc               0.10         0.00         0.63          0         38
sde             232.58         0.00     20654.13          0    1239248
sdd             212.57         0.00     13186.67          0     791200
sdf             224.33         0.00     20122.80          0    1207368
sda               1.07         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            9213.17         0.00     73675.33          0    4420520

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             251.77         0.00     18774.53          0    1126472
sdc               0.07         0.00         0.10          0          6
sde             227.90         0.00     19972.67          0    1198360
sdd             200.37         0.00     12282.13          0     736928
sdf             220.13         0.00     19605.20          0    1176312
sda               0.92         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8832.88         0.00     70634.53          0    4238072

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             254.00         0.00     18944.27          0    1136656
sdc               0.47         0.00         3.97          0        238
sde             220.87         0.00     19927.20          0    1195632
sdd             203.30         0.00     12459.60          0     747576
sdf             216.55         0.00     19502.80          0    1170168
sda               1.05         0.00        14.27          0        856
dm-0              1.78         0.00        14.27          0        856
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8857.68         0.00     70833.87          0    4250032

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             265.65         0.00     19714.67          0    1182880
sdc               0.10         0.00         0.98          0         59
sde             231.83         0.00     20844.40          0    1250664
sdd             218.92         0.00     13121.73          0     787304
sdf             226.50         0.00     20375.87          0    1222552
sda               0.82         0.00         9.47          0        568
dm-0              1.18         0.00         9.47          0        568
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            9260.88         0.00     74056.67          0    4443400

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             262.40         0.00     19666.40          0    1179984
sdc               0.27         0.00         2.00          0        120
sde             227.38         0.00     20174.80          0    1210488
sdd             211.02         0.00     12756.27          0     765376
sdf             221.48         0.00     19879.33          0    1192760
sda               0.80         0.00         9.73          0        584
dm-0              1.22         0.00         9.73          0        584
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            9063.17         0.00     72476.80          0    4348608

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             254.02         0.00     18927.07          0    1135624
sdc               0.45         0.00         3.95          0        237
sde             223.47         0.00     20066.93          0    1204016
sdd             204.47         0.00     12588.80          0     755328
sdf             222.33         0.00     19736.13          0    1184168
sda               1.10         0.00        13.07          0        784
dm-0              1.63         0.00        13.07          0        784
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8918.27         0.00     71318.93          0    4279136

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             251.83         0.00     18675.20          0    1120512
sdc               0.08         0.00         0.37          0         22
sde             216.77         0.00     19275.33          0    1156520
sdd             202.95         0.00     12188.93          0     731336
sdf             205.68         0.00     18330.40          0    1099824
sda               0.98         0.00        12.13          0        728
dm-0              1.52         0.00        12.13          0        728
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8562.17         0.00     68469.87          0    4108192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             243.62         0.00     18363.60          0    1101816
sdc               0.07         0.00         0.10          0          6
sde             211.83         0.00     19386.93          0    1163216
sdd             205.30         0.00     12331.07          0     739864
sdf             204.30         0.00     18379.73          0    1102784
sda               0.92         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8560.97         0.00     68461.33          0    4107680

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             253.70         0.00     18555.20          0    1113312
sdc               0.50         0.00         4.73          0        284
sde             211.22         0.00     19385.20          0    1163112
sdd             204.80         0.00     12267.87          0     736072
sdf             209.45         0.00     18804.00          0    1128240
sda               1.20         0.00        14.13          0        848
dm-0              1.77         0.00        14.13          0        848
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8629.77         0.00     69012.27          0    4140736

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             259.37         0.00     19498.80          0    1169928
sdc               0.23         0.00         1.60          0         96
sde             223.68         0.00     20494.53          0    1229672
sdd             216.95         0.00     12949.47          0     776968
sdf             216.30         0.00     20054.00          0    1203240
sda               1.05         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            9128.00         0.00     72996.80          0    4379808

Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            2946.29     20641.85     20700.08 2204523393 2210742694
sdc               0.32         1.00        10.90     107046    1163886
sde            2728.03     20710.60     20629.81 2211866426 2203238078
sdd            2723.84     20267.53     19503.81 2164546794 2082982342
sdf            2694.77     20255.99     19423.64 2163313858 2074420262
sda               1.41        13.51        23.84    1442872    2546116
dm-0              3.35        13.36        23.84    1426930    2546072
dm-1              0.00         0.02         0.00       2592          0
dm-2              0.00         0.01         0.00       1280         16
md0           13800.85     81104.06     74283.51 8661811490 7933385736

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb              89.23         0.00     11514.00          0     690840
sdc               0.77         0.00       356.40          0      21384
sde              53.65         0.00     12054.93          0     723296
sdd              59.90         0.00     10788.67          0     647320
sdf              50.53         0.00     11427.60          0     685656
sda               2.17         0.00       801.47          0      48088
dm-0            100.18         0.00       801.47          0      48088
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5726.02         0.00     45785.20          0    2747112

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             123.48         0.00     17677.07          0    1060624
sdc               0.80         0.00         7.23          0        434
sde              74.98         0.00     18424.80          0    1105488
sdd              72.53         0.00     15816.53          0     948992
sdf              76.13         0.00     17834.53          0    1070072
sda               1.12         0.00        14.27          0        856
dm-0              1.78         0.00        14.27          0        856
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8721.47         0.00     69752.93          0    4185176

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             155.02         0.00     19035.60          0    1142136
sdc               0.48         0.00         4.10          0        246
sde             102.65         0.00     19421.20          0    1165272
sdd              98.82         0.00     15566.67          0     934000
sdf              96.38         0.00     18785.73          0    1127144
sda               0.97         0.00        11.47          0        688
dm-0              1.43         0.00        11.47          0        688
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            9102.85         0.00     72809.20          0    4368552

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             159.02         0.00     12933.07          0     775984
sdc               0.10         0.00         0.88          0         53
sde             129.92         0.00     13942.40          0     836544
sdd             120.52         0.00     10006.13          0     600368
sdf             124.97         0.00     13104.93          0     786296
sda               1.17         0.00        13.33          0        800
dm-0              1.67         0.00        13.33          0        800
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6253.35         0.00     49986.53          0    2999192

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             135.22         0.00     10080.53          0     604832
sdc               0.07         0.00         0.10          0          6
sde             118.20         0.00     11336.93          0     680216
sdd             102.03         0.00      7724.27          0     463456
sdf             111.32         0.00     10596.67          0     635800
sda               0.85         0.00         9.47          0        568
dm-0              1.18         0.00         9.47          0        568
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4971.93         0.00     39738.40          0    2384304

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             143.08         0.00     10252.53          0     615152
sdc               0.43         0.00         3.43          0        206
sde             128.68         0.00     11732.53          0     703952
sdd             108.48         0.00      7920.40          0     475224
sdf             121.18         0.00     11091.60          0     665496
sda               0.82         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5131.28         0.00     41014.13          0    2460848

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             131.53         0.00      9498.40          0     569904
sdc               0.10         0.00         0.88          0         53
sde             120.95         0.00     10924.67          0     655480
sdd              98.87         0.00      7475.20          0     448512
sdf             112.27         0.00     10147.87          0     608872
sda               0.93         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4757.77         0.00     38029.07          0    2281744

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             132.35         0.00      9694.40          0     581664
sdc               0.23         0.00         1.70          0        102
sde             128.68         0.00     11468.27          0     688096
sdd             105.70         0.00      7538.13          0     452288
sdf             121.22         0.00     10542.67          0     632560
sda               0.83         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4909.43         0.00     39243.47          0    2354608

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             138.82         0.00     10254.67          0     615280
sdc               0.48         0.00         4.35          0        261
sde             131.18         0.00     11772.13          0     706328
sdd             110.90         0.00      7830.93          0     469856
sdf             123.52         0.00     11063.60          0     663816
sda               1.07         0.00        12.13          0        728
dm-0              1.52         0.00        12.13          0        728
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5119.35         0.00     40921.33          0    2455280

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             143.40         0.00     10678.53          0     640712
sdc               0.10         0.00         0.88          0         53
sde             130.98         0.00     12072.27          0     724336
sdd             110.52         0.00      7982.80          0     478968
sdf             121.67         0.00     11177.33          0     670640
sda               1.02         0.00        12.13          0        728
dm-0              1.52         0.00        12.13          0        728
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5242.28         0.00     41910.93          0    2514656

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             140.63         0.00     10394.13          0     623648
sdc               0.07         0.00         0.10          0          6
sde             130.45         0.00     11758.40          0     705504
sdd             107.58         0.00      7767.47          0     466048
sdf             120.67         0.00     10953.47          0     657208
sda               0.95         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5112.87         0.00     40873.47          0    2452408

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             138.02         0.00     10479.20          0     628752
sdc               0.43         0.00         3.43          0        206
sde             128.55         0.00     11878.80          0     712728
sdd             108.42         0.00      7885.20          0     473112
sdf             121.73         0.00     11057.33          0     663440
sda               1.28         0.00        14.93          0        896
dm-0              1.87         0.00        14.93          0        896
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5166.32         0.00     41300.53          0    2478032

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             141.03         0.00     10290.53          0     617432
sdc               0.27         0.00         2.48          0        149
sde             125.93         0.00     11260.40          0     675624
sdd             109.53         0.00      7646.93          0     458816
sdf             122.23         0.00     10854.13          0     651248
sda               1.20         0.00        15.20          0        912
dm-0              1.90         0.00        15.20          0        912
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5010.17         0.00     40052.00          0    2403120

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             141.02         0.00     10691.20          0     641472
sdc               0.12         0.00         1.02          0         61
sde             127.63         0.00     11821.47          0     709288
sdd             111.08         0.00      8099.87          0     485992
sdf             120.40         0.00     11149.60          0     668976
sda               0.78         0.00        10.27          0        616
dm-0              1.28         0.00        10.27          0        616
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5223.62         0.00     41762.13          0    2505728

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             143.17         0.00     10650.13          0     639008
sdc               0.43         0.00         3.43          0        206
sde             132.57         0.00     11880.13          0     712808
sdd             115.38         0.00      8076.67          0     484600
sdf             122.68         0.00     11097.20          0     665832
sda               0.98         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5216.02         0.00     41704.13          0    2502248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             172.53         0.00     12475.20          0     748512
sdc               0.10         0.00         0.88          0         53
sde             157.73         0.00     13952.67          0     837160
sdd             132.17         0.00      8841.07          0     530464
sdf             147.30         0.00     13103.87          0     786232
sda               0.93         0.00        10.40          0        624
dm-0              1.30         0.00        10.40          0        624
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6050.10         0.00     48372.80          0    2902368

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             171.97         0.00     12614.80          0     756888
sdc               0.07         0.00         0.10          0          6
sde             159.48         0.00     13974.27          0     838456
sdd             135.28         0.00      9094.13          0     545648
sdf             147.03         0.00     13147.33          0     788840
sda               0.98         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6107.13         0.00     48830.53          0    2929832

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             174.37         0.00     12654.67          0     759280
sdc               0.45         0.00         3.57          0        214
sde             168.85         0.00     14312.00          0     858720
sdd             141.60         0.00      9097.07          0     545824
sdf             156.87         0.00     13369.87          0     802192
sda               0.90         0.00        12.53          0        752
dm-0              1.57         0.00        12.53          0        752
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6182.90         0.00     49433.60          0    2966016

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             192.87         0.00     13770.67          0     826240
sdc               0.10         0.00         0.88          0         53
sde             178.12         0.00     14973.73          0     898424
sdd             153.10         0.00      9721.07          0     583264
sdf             167.23         0.00     14218.40          0     853104
sda               1.17         0.00        12.27          0        736
dm-0              1.53         0.00        12.27          0        736
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6589.17         0.00     52683.87          0    3161032

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             195.65         0.00     13613.20          0     816792
sdc               0.07         0.00         0.10          0          6
sde             181.83         0.00     15183.60          0     911016
sdd             158.25         0.00      9752.67          0     585160
sdf             170.53         0.00     14357.07          0     861424
sda               0.95         0.00        11.20          0        672
dm-0              1.40         0.00        11.20          0        672
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6617.23         0.00     52906.53          0    3174392

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             183.55         0.00     13055.60          0     783336
sdc               0.43         0.00         3.43          0        206
sde             166.02         0.00     14210.00          0     852600
sdd             153.13         0.00      9474.67          0     568480
sdf             159.73         0.00     13482.13          0     808928
sda               1.08         0.00        13.20          0        792
dm-0              1.65         0.00        13.20          0        792
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6283.17         0.00     50239.87          0    3014392

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             184.23         0.00     12936.40          0     776184
sdc               0.10         0.00         0.88          0         53
sde             162.70         0.00     14352.67          0     861160
sdd             147.52         0.00      9269.87          0     556192
sdf             156.32         0.00     13525.33          0     811520
sda               0.92         0.00        12.13          0        728
dm-0              1.52         0.00        12.13          0        728
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6261.65         0.00     50066.80          0    3004008

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             170.63         0.00     11976.80          0     718608
sdc               0.23         0.00         1.70          0        102
sde             153.88         0.00     13235.73          0     794144
sdd             137.47         0.00      8866.40          0     531984
sdf             147.55         0.00     12390.53          0     743432
sda               0.83         0.00         9.20          0        552
dm-0              1.15         0.00         9.20          0        552
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5811.90         0.00     46469.47          0    2788168

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             169.53         0.00     11851.20          0     711072
sdc               0.48         0.00         4.35          0        261
sde             144.00         0.00     12666.13          0     759968
sdd             137.32         0.00      8708.13          0     522488
sdf             137.68         0.00     11835.07          0     710104
sda               1.20         0.00        15.33          0        920
dm-0              1.92         0.00        15.33          0        920
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5635.72         0.00     45060.53          0    2703632

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             174.28         0.00     12140.53          0     728432
sdc               0.10         0.00         0.88          0         53
sde             145.43         0.00     12897.47          0     773848
sdd             137.18         0.00      8902.93          0     534176
sdf             137.10         0.00     12136.67          0     728200
sda               0.93         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5769.48         0.00     46130.93          0    2767856

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             205.90         0.00     14241.47          0     854488
sdc               0.07         0.00         0.10          0          6
sde             168.65         0.00     15034.93          0     902096
sdd             169.10         0.00     10226.93          0     613616
sdf             166.57         0.00     14489.33          0     869360
sda               1.08         0.00        15.60          0        936
dm-0              1.95         0.00        15.60          0        936
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6746.08         0.00     53939.33          0    3236360

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             200.78         0.00     14166.00          0     849960
sdc               0.43         0.00         3.43          0        206
sde             165.43         0.00     14753.07          0     885184
sdd             161.93         0.00     10073.73          0     604424
sdf             162.72         0.00     14146.93          0     848816
sda               1.27         0.00        19.20          0       1152
dm-0              2.40         0.00        19.20          0       1152
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6645.80         0.00     53139.73          0    3188384

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             211.22         0.00     14753.87          0     885232
sdc               0.27         0.00         2.48          0        149
sde             170.47         0.00     15243.73          0     914624
sdd             168.60         0.00     10389.20          0     623352
sdf             169.83         0.00     14757.87          0     885472
sda               1.42         0.00        17.33          0       1040
dm-0              2.17         0.00        17.33          0       1040
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6896.37         0.00     55144.67          0    3308680

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             218.08         0.00     15028.67          0     901720
sdc               0.12         0.00         1.02          0         61
sde             181.87         0.00     15915.73          0     954944
sdd             174.48         0.00     10684.13          0     641048
sdf             173.93         0.00     15292.80          0     917568
sda               0.98         0.00        14.13          0        848
dm-0              1.77         0.00        14.13          0        848
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7118.57         0.00     56921.33          0    3415280

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             230.30         0.00     15826.27          0     949576
sdc               0.43         0.00         3.43          0        206
sde             192.05         0.00     16661.33          0     999680
sdd             181.95         0.00     10873.07          0     652384
sdf             180.02         0.00     15710.13          0     942608
sda               1.03         0.00        13.60          0        816
dm-0              1.70         0.00        13.60          0        816
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7387.67         0.00     59070.80          0    3544248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             213.82         0.00     15025.87          0     901552
sdc               0.10         0.00         0.88          0         53
sde             182.00         0.00     15955.07          0     957304
sdd             177.12         0.00     10784.27          0     647056
sdf             178.52         0.00     15140.53          0     908432
sda               0.88         0.00        10.00          0        600
dm-0              1.25         0.00        10.00          0        600
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7116.48         0.00     56905.73          0    3414344

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             228.22         0.00     16100.27          0     966016
sdc               0.07         0.00         0.10          0          6
sde             200.68         0.00     17213.33          0    1032800
sdd             191.97         0.00     11180.67          0     670840
sdf             189.07         0.00     16279.33          0     976760
sda               1.08         0.00        12.53          0        752
dm-0              1.57         0.00        12.53          0        752
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            7600.32         0.00     60773.60          0    3646416

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             214.77         0.00     14663.87          0     879832
sdc               1.45         0.00       362.22          0      21733
sde             183.30         0.00     15735.87          0     944152
sdd             171.77         0.00     10205.20          0     612312
sdf             175.70         0.00     14840.93          0     890456
sda               0.93         0.00        12.00          0        720
dm-0              1.50         0.00        12.00          0        720
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6934.38         0.00     55445.87          0    3326752

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            3537.60         0.00     40920.53          0    2455232
sdc               0.28         0.00         2.75          0        165
sde            3459.75         0.00     41226.13          0    2473568
sdd            3436.03         0.00     36083.20          0    2164992
sdf            3426.33         0.00     40283.60          0    2417016
sda               1.10         0.00        15.20          0        912
dm-0              1.90         0.00        15.20          0        912
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           19818.72         0.00    158522.93          0    9511376

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21051.12         0.00    176998.00          0   10619880
sdc               0.07         0.00         0.10          0          6
sde           21179.10         0.00    178082.40          0   10684944
sdd           20939.63         0.00    173386.53          0   10403192
sdf           21085.68         0.00    177795.60          0   10667736
sda               1.03         0.00        13.20          0        792
dm-0              1.65         0.00        13.20          0        792
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           88286.57         0.00    706268.13          0   42376088

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21259.65         0.00    180373.60          0   10822416
sdc               0.43         0.00         3.43          0        206
sde           21378.93         0.00    181329.87          0   10879792
sdd           21160.63         0.00    176060.80          0   10563648
sdf           21242.60         0.00    180737.07          0   10844224
sda               1.23         0.00        15.47          0        928
dm-0              1.93         0.00        15.47          0        928
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           89815.93         0.00    718500.53          0   43110032

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21350.20         0.00    180624.80          0   10837488
sdc               0.10         0.00         0.88          0         53
sde           21447.12         0.00    181635.47          0   10898128
sdd           21170.82         0.00    175758.00          0   10545480
sdf           21289.52         0.00    180851.47          0   10851088
sda               0.93         0.00        12.27          0        736
dm-0              1.53         0.00        12.27          0        736
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           89860.83         0.00    718860.67          0   43131640

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21387.13         0.00    181216.80          0   10873008
sdc               0.23         0.00         1.70          0        102
sde           21504.28         0.00    182422.80          0   10945368
sdd           21193.20         0.00    176221.07          0   10573264
sdf           21337.78         0.00    181774.80          0   10906488
sda               0.90         0.00        12.80          0        768
dm-0              1.60         0.00        12.80          0        768
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           90208.85         0.00    721643.07          0   43298584

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21316.68         0.00    180780.40          0   10846824
sdc               0.45         0.00         4.38          0        263
sde           21460.48         0.00    181921.87          0   10915312
sdd           21153.48         0.00    175934.13          0   10556048
sdf           21329.77         0.00    181700.00          0   10902000
sda               1.02         0.00        13.60          0        816
dm-0              1.70         0.00        13.60          0        816
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           90045.45         0.00    720336.27          0   43220176

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21609.08         0.00    183126.00          0   10987560
sdc               0.10         0.00         0.88          0         53
sde           21709.48         0.00    184300.93          0   11058056
sdd           21437.08         0.00    178093.73          0   10685624
sdf           21552.40         0.00    183522.80          0   11011368
sda               1.07         0.00        11.87          0        712
dm-0              1.48         0.00        11.87          0        712
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           91134.03         0.00    729045.33          0   43742720

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           22555.02         0.00    190686.80          0   11441208
sdc               0.07         0.00         0.10          0          6
sde           21078.12         0.00    179434.13          0   10766048
sdd           21068.20         0.00    175196.40          0   10511784
sdf           20938.48         0.00    178870.27          0   10732216
sda               0.85         0.00        10.27          0        616
dm-0              1.28         0.00        10.27          0        616
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           90527.07         0.00    724189.60          0   43451376

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb           21850.10         0.00    184224.40          0   11053464
sdc               0.43         0.00         3.50          0        210
sde           22959.25         0.00    193079.47          0   11584768
sdd           22644.93         0.00    187216.53          0   11232992
sdf           22438.62         0.00    189590.67          0   11375440
sda               1.03         0.00        14.00          0        840
dm-0              1.75         0.00        14.00          0        840
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0           94267.73         0.00    754115.47          0   45246928

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb            5673.88    224256.00     56238.13   13455360    3374288
sdc               0.27         0.00         2.50          0        150
