Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
md0            5194.03         0.00     41515.07          0    2490904

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             151.37         0.00     10526.27          0     631576
sdc               0.27         0.00         2.00          0        120
sde             130.07         0.00     11858.53          0     711512
sdd             112.87         0.00      8051.20          0     483072
sdf             125.32         0.00     11185.33          0     671120
sda               1.00         0.00        11.87          0        712
dm-0              1.48         0.00        11.87          0        712
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5207.02         0.00     41620.27          0    2497216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             133.68         0.00      9650.00          0     579000
sdc               0.45         0.00         3.95          0        237
sde             122.75         0.00     11265.47          0     675928
sdd             104.67         0.00      7598.80          0     455928
sdf             114.53         0.00     10350.93          0     621056
sda               0.93         0.00        11.73          0        704
dm-0              1.47         0.00        11.73          0        704
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4861.07         0.00     38855.60          0    2331336

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             131.58         0.00      9441.73          0     566504
sdc               1.35         0.00       361.35          0      21681
sde             123.25         0.00     11210.27          0     672616
sdd             102.08         0.00      7390.27          0     443416
sdf             118.12         0.00     10258.40          0     615504
sda               1.23         0.00        12.93          0        776
dm-0              1.62         0.00        12.93          0        776
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4791.68         0.00     38300.67          0    2298040

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             141.38         0.00     10340.67          0     620440
sdc               0.10         0.00         0.63          0         38
sde             129.32         0.00     11758.00          0     705480
sdd             105.17         0.00      7866.40          0     471984
sdf             124.50         0.00     11180.13          0     670808
sda               1.07         0.00        12.27          0        736
dm-0              1.53         0.00        12.27          0        736
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5147.12         0.00     41145.20          0    2468712

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             143.03         0.00     10502.40          0     630144
sdc               0.50         0.00         4.72          0        283
sde             132.25         0.00     12034.80          0     722088
sdd             108.00         0.00      7737.20          0     464232
sdf             127.40         0.00     11509.60          0     690576
sda               0.88         0.00        12.67          0        760
dm-0              1.58         0.00        12.67          0        760
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5226.85         0.00     41784.00          0    2507040

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             143.58         0.00     10807.60          0     648456
sdc               0.23         0.00         1.60          0         96
sde             130.28         0.00     12128.53          0     727712
sdd             112.47         0.00      7979.60          0     478776
sdf             124.05         0.00     11545.33          0     692720
sda               0.92         0.00         9.60          0        576
dm-0              1.20         0.00         9.60          0        576
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5311.38         0.00     42461.07          0    2547664

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             132.67         0.00     10096.27          0     605776
sdc               0.07         0.00         0.10          0          6
sde             126.95         0.00     11217.33          0     673040
sdd             104.28         0.00      7523.73          0     451424
sdf             115.38         0.00     10383.87          0     623032
sda               0.93         0.00        10.13          0        608
dm-0              1.27         0.00        10.13          0        608
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            4906.07         0.00     39221.20          0    2353272

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             136.40         0.00     10311.87          0     618712
sdc               0.45         0.00         3.95          0        237
sde             123.95         0.00     11342.00          0     680520
sdd             107.87         0.00      7684.93          0     461096
sdf             119.78         0.00     10882.00          0     652920
sda               1.02         0.00        12.93          0        776
dm-0              1.62         0.00        12.93          0        776
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5031.27         0.00     40220.80          0    2413248

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             159.55         0.13     11694.13          8     701648
sdc               0.07         0.00         0.10          0          6
sde             141.93         0.00     12926.13          0     775568
sdd             128.18         0.00      8585.33          0     515120
sdf             138.10         0.00     12548.00          0     752880
sda               0.90         0.00        11.60          0        696
dm-0              1.45         0.00        11.60          0        696
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5722.55         0.13     45753.60          8    2745216

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             155.37         0.00     11747.33          0     704840
sdc               0.08         0.00         0.72          0         43
sde             147.73         0.00     13430.53          0     805832
sdd             123.15         0.00      8540.53          0     512432
sdf             136.72         0.00     12521.87          0     751312
sda               0.88         0.00        10.93          0        656
dm-0              1.37         0.00        10.93          0        656
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5783.25         0.00     46240.27          0    2774416

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             158.11         0.00     11345.31          0     680832
sdc               0.63         0.00         5.33          0        320
sde             144.29         0.00     12730.28          0     763944
sdd             120.95         0.00      8259.56          0     495656
sdf             144.86         0.00     12368.34          0     742224
sda               1.13         0.00        12.93          0        776
dm-0              1.62         0.00        12.93          0        776
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5590.95         0.00     44703.48          0    2682656

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             181.75         0.00     12995.07          0     779704
sdc               0.08         0.00         0.37          0         22
sde             154.85         0.00     13831.60          0     829896
sdd             138.05         0.00      9286.00          0     557160
sdf             148.27         0.00     13155.87          0     789352
sda               0.93         0.00        11.07          0        664
dm-0              1.38         0.00        11.07          0        664
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6161.98         0.00     49268.53          0    2956112

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             185.62         0.00     13131.87          0     787912
sdc               0.07         0.00         0.10          0          6
sde             164.87         0.00     14339.20          0     860352
sdd             145.92         0.00      9347.73          0     560864
sdf             153.45         0.00     13504.93          0     810296
sda               0.85         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6293.73         0.00     50323.73          0    3019424

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             193.00         0.00     13602.40          0     816144
sdc               0.45         0.00         3.97          0        238
sde             167.63         0.00     14497.60          0     869856
sdd             152.57         0.00      9609.87          0     576592
sdf             163.35         0.00     13914.40          0     834864
sda               1.00         0.00        12.80          0        768
dm-0              1.60         0.00        12.80          0        768
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6456.38         0.00     51624.27          0    3097456

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             186.40         0.00     13194.93          0     791696
sdc               0.08         0.00         0.72          0         43
sde             165.53         0.00     14344.40          0     860664
sdd             150.93         0.00      9468.40          0     568104
sdf             161.28         0.00     13684.13          0     821048
sda               1.18         0.00        14.53          0        872
dm-0              1.82         0.00        14.53          0        872
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6339.63         0.00     50691.87          0    3041512

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             183.05         0.00     12941.87          0     776512
sdc               0.27         0.00         2.00          0        120
sde             172.17         0.00     14414.67          0     864880
sdd             149.10         0.00      9287.20          0     557232
sdf             163.83         0.00     13594.40          0     815664
sda               1.08         0.00        11.33          0        680
dm-0              1.42         0.00        11.33          0        680
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            6283.15         0.00     50238.13          0    3014288

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             171.68         0.00     12277.73          0     736664
sdc               0.43         0.00         3.82          0        229
sde             160.40         0.00     13593.60          0     815616
sdd             136.50         0.00      8895.87          0     533752
sdf             155.62         0.00     12880.13          0     772808
sda               1.20         0.00        14.80          0        888
dm-0              1.85         0.00        14.80          0        888
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            5964.33         0.00     47689.20          0    2861352

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             162.52         0.00     11851.47          0     711088
sdc               0.07         0.00         0.10          0          6
sde             156.57         0.00     13424.13          0     805448
sdd             129.75         0.00      8675.87          0     520552
sdf             151.42         0.00     12711.87          0     762712
sda               0.93         0.00        10.53          0        632
dm-0              1.32         0.00        10.53          0        632
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
