procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 515981376 782032 5988200    0    0     0 19886 2191 2162  2  0 98  0  0	
 2  0      0 515939776 782036 6029012    0    0     0 20503 2283 2404  2  0 98  0  0	
 2  0      0 515905568 782068 6057736    0    0     0 19020 2222 2720  2  0 98  0  0	
 2  0      0 515876736 782104 6086448    0    0     0 19628 2239 3093  2  0 98  0  0	
 2  0      0 515841728 782128 6119260    0    0     0 20469 2272 3104  2  0 98  0  0	
 2  0      0 515807936 782136 6152076    0    0     0 20962 2336 3458  2  0 98  0  0	
 2  0      0 515779200 782188 6180800    0    0     0 20442 2378 3548  2  0 98  0  0	
 2  0      0 515749792 782224 6209520    0    0     0 20659 2368 3492  2  0 98  0  0	
 2  0      0 515722080 782252 6238236    0    0     0 20035 2431 3156  2  0 98  0  0	
 2  0      0 515683552 782284 6270852    0    0     0 20887 2351 3202  2  0 98  0  0	
 3  0      0 515648064 782336 6303664    0    0     0 20859 2356 3254  2  0 98  0  0	
 7  0      0 515612832 782360 6336480    0    0     0 24203 2544 3793  2  0 98  0  0	
 3  0      0 515574400 782392 6373396    0    0     0 24410 2585 3749  2  0 98  0  0	
 3  0      0 515521216 782424 6422592    0    0     0 24725 2600 3619  2  0 98  0  0	
 2  0      0 515461888 782448 6479976    0    0     0 26349 2709 3770  2  0 98  0  0	
 2  0      0 515408864 782464 6529184    0    0     0 26459 2789 3858  2  0 98  0  0	
 2  0      0 515371040 782508 6565892    0    0     0 25140 2654 3707  2  0 98  0  0	
 2  0      0 515332736 782544 6602808    0    0     0 25050 2615 3696  2  0 98  0  0	
 2  0      0 515303552 782588 6631524    0    0     0 23283 2595 3475  2  0 98  0  0	
 3  0      0 515280192 782616 6656132    0    0     0 22532 2569 3411  2  0 98  0  0	
 3  0      0 515249440 782644 6684868    0    0     0 23042 2585 3418  2  0 98  0  0	
 2  0      0 515212576 782680 6721768    0    0     0 26950 2803 3670  2  0 98  0  0	
 3  0      0 515173024 782696 6758676    0    0     0 26581 2790 3883  2  0 98  0  0	
 2  0      0 515137632 782732 6791504    0    0     0 27582 2784 3989  2  0 98  0  0	
 1  1      0 515098560 782764 6832308    0    0     0 28469 2892 3964  2  0 98  0  0	
 2  0      0 515049888 782796 6877404    0    0     0 29543 2957 3895  2  0 98  0  0	
 2  0      0 514999936 782812 6926604    0    0     0 28458 2921 3650  2  0 98  0  0	
 2  0      0 514949536 782856 6975816    0    0     0 30394 2969 3741  2  0 98  0  0	
 1  0      0 514914528 782888 7012724    0    0     0 27910 2879 3561  2  0 98  0  0	
14 24      0 514817536 782912 7098596    0    0     0 79448 23830 26240  2  2 94  2  0	
16 25      0 514786240 782956 7127332    0    0     0 353147 138004 148438  3 10 73 14  0	
10 25      0 514746400 782988 7164248    0    0     0 359282 140443 149134  3 10 73 14  0	
 8 26      0 514712192 783024 7196848    0    0     0 359397 141038 148968  3 10 73 14  0	
20 23      0 514679840 783060 7229652    0    0     0 360861 142955 149755  3 10 73 14  0	
 4 31      0 514651232 783076 7258376    0    0     0 360218 142519 148572  3 10 73 14  0	
12 25      0 514619872 783104 7287092    0    0     0 364516 142549 151450  3 10 73 14  0	
 7 30      0 514586720 783124 7319904    0    0     0 362145 139830 150001  3 10 74 14  0	
16 18      0 514553600 783160 7352728    0    0     0 377043 144616 157012  3 10 73 14  0	
 2  1      0 512416608 783180 7393600    0    0 451973 117347 40834 41788  2  3 92  3  0	
 2  1      0 512386080 783232 7422320    0    0 4584998 25966 35779 10788  2  2 96  0  0	
 1  0      0 514507424 783276 7401964    0    0 3910878 26163 31267 9620  2  1 97  0  0	
 1  1      0 514471872 783308 7438536    0    0     0 31795 2928 3873  2  0 98  0  0	
 1  0      0 514438880 783340 7471700    0    0     0 35474 3061 4441  2  0 98  0  0	
 1  0      0 514404864 783348 7504172    0    0     0 35631 3155 4020  2  0 98  0  0	
 1  0      0 514370944 783392 7537320    0    0     0 36309 3246 4172  2  0 98  0  0	
 1  0      0 514336864 783432 7570140    0    0     0 36756 3246 4363  2  0 98  0  0	
 1  0      0 514303040 783460 7602944    0    0     0 36886 3250 4471  2  0 98  0  0	
 1  0      0 514260832 783488 7643624    0    0     0 36647 3331 4516  2  0 98  0  0	
 1  0      0 514222784 783512 7680660    0    0     0 35410 3207 3904  2  0 98  0  0	
 1  0      0 514184800 783536 7717572    0    0     0 33455 3139 3765  2  0 98  0  0	
 1  0      0 514142240 783564 7758572    0    0     0 33384 3019 3817  2  0 98  0  0	
 1  0      0 514104224 783596 7795476    0    0     0 34880 3040 3971  2  0 98  0  0	
 2  0      0 514060032 783628 7836484    0    0     0 39680 3291 4487  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 513939424 784512 7990872    0    0   686   633    2    2  0  1 97  1  0	
 6  0      0 516680096 784540 5326644    0    0     0 23882 1639 1804  1  0 99  0  0	
 6  0      0 516261760 784596 5729684    0    0     0 37915 2013 2604  2  0 98  0  0	
 6  0      0 516056576 784616 5930548    0    0     0 39003 2293 3167  2  0 98  0  0	
 3  0      0 516008192 784648 5975936    0    0     1 23062 2239 2205  2  0 98  0  0	
 3  0      0 515965120 784684 6016940    0    0     0 20379 2257 2245  2  0 98  0  0	
 5  0      0 515935744 784716 6049752    0    0     0 19191 2275 2629  2  0 98  0  0	
 3  0      0 515902784 784756 6078468    0    0     0 19412 2274 2628  2  0 98  0  0	
 5  0      0 515868352 784776 6111092    0    0     0 19815 2334 2942  2  0 98  0  0	
 3  0      0 515831968 784804 6148004    0    0     0 21647 2404 3347  2  0 98  0  0	
 2  0      0 515776832 784852 6176736    0    0     0 21431 2411 3619  2  0 98  0  0	
 3  0      0 515744576 784888 6205452    0    0     0 21213 2414 3610  2  0 98  0  0	
 2  0      0 515711872 784924 6238264    0    0     0 21365 2392 3529  2  0 98  0  0	
 4  0      0 515669184 784968 6276148    0    0     0 22176 2496 3720  2  0 98  0  0	
 2  0      0 515636224 785004 6308964    0    0     0 22563 2500 3575  2  0 98  0  0	
 5  0      0 515602432 785032 6341780    0    0     0 21948 2489 3424  2  0 98  0  0	
 2  0      0 515572640 785048 6370308    0    0     0 22719 2546 3471  2  0 98  0  0	
 4  0      0 513421760 785092 6415580    0    0 2653537 21357 26801 6388  2  1 97  0  0	
 2  0      0 515473568 785104 6464784    0    0 1820527 24320 16060 5737  2  1 97  0  0	
 3  0      0 515414400 785136 6522172    0    0     0 25925 2772 3800  2  0 98  0  0	
 2  0      0 515368608 785180 6567304    0    0     0 26045 2741 3834  2  0 98  0  0	
 2  0      0 515330304 785212 6604212    0    0     0 25979 2821 3683  2  0 98  0  0	
 2  0      0 515296576 785224 6637024    0    0     0 24766 2741 3683  2  0 98  0  0	
 2  0      0 515262560 785256 6669836    0    0     0 23159 2639 3448  2  0 98  0  0	
 4  0      0 515230912 785292 6698024    0    0     0 24157 2701 3597  2  0 98  0  0	
 3  0      0 515192704 785320 6734932    0    0     0 27859 2940 3784  2  0 98  0  0	
 2  0      0 515156544 785380 6771252    0    0    53 26909 3047 3844  2  0 98  0  0	
 3  0      0 513009472 786488 6801164    0    0 3355117 24584 55334 9099  2  1 97  0  0	
 2  0      0 515066880 787404 6845348    0    0 1118846 27243 21738 6539  2  1 97  0  0	
 2  0      0 515029120 787456 6882256    0    0     0 27676 3946 5076  2  0 98  0  0	
 1  0      0 514987104 787504 6923276    0    0     0 27139 3901 4967  2  0 98  0  0	
 4  0      0 514936064 787560 6972280    0    0     0 28715 3977 5098  2  0 98  0  0	
 2  0      0 514896352 787604 7013284    0    0     0 27651 3919 4849  2  0 98  0  0	
 1  0      0 514856384 787636 7050192    0    0     0 26957 3919 4671  2  0 98  0  0	
 2  0      0 512723200 787820 7080120    0    0 1330437 25788 17844 6219  2  1 97  0  0	
 1  0      0 514788416 788560 7110600    0    0 3143488 24394 33597 8346  2  1 97  0  0	
 1  0      0 514757728 788612 7147176    0    0     0 27313 3920 4738  2  0 98  0  0	
 1  0      0 514729504 788648 7176244    0    0     0 28572 3961 4861  2  0 98  0  0	
 1  0      0 514695136 788684 7209056    0    0     0 29892 3973 4937  2  0 98  0  0	
 1  0      0 514657760 788756 7241668    0    0     0 33436 4146 5326  2  0 98  0  0	
 1  0      0 514623328 788796 7274500    0    0     0 32668 4140 5178  2  0 98  0  0	
 1  0      0 514588928 788828 7307320    0    0     0 33528 4196 5436  2  0 98  0  0	
 1  0      0 514544832 788892 7348324    0    0     0 32595 4069 5110  2  0 98  0  0	
 1  1      0 514499456 788956 7393428    0    0     0 34273 4067 5422  2  0 98  0  0	
 2  0      0 522201536   7652 882564    0    0  9887 31912 4303 5359  2  0 98  0  0	
 3  1      0 519386592  22076 1572992    0    0 3896606 25589 42841 9553  2  2 96  0  0	
 2  0      0 521244192  34000 1806368    0    0 590491 28710 10762 5599  2  0 98  0  0	
 4  0      0 521141088  48784 1892784    0    0   906 30525 4139 5015  2  0 98  0  0	
 1  0      0 521059616  61984 1961112    0    0   527 32921 4116 5292  2  0 98  0  0	
 5  0      0 520957664  76540 2046396    0    0   710 34554 4186 5465  2  0 98  0  0	
 1  0      0 520882816  88324 2107908    0    0   265 35192 4186 5402  2  0 98  0  0	
 2  0      0 520805920  94784 2175272    0    0   339 35576 4140 5501  2  0 98  0  0	
 1  0      0 520732544 100704 2241764    0    0   317 35744 4186 5487  2  0 98  0  0	
 1  0      0 520651584 106456 2315808    0    0   468 34330 4128 5129  2  0 98  0  0	
 1  0      0 520539104 112588 2419768    0    0   741 35077 4162 5253  2  0 98  0  0	
 1  0      0 520453632 119124 2496296    0    0   538 33450 4159 5030  2  0 98  0  0	
 2  0      0 520384096 122236 2560668    0    0   290 33567 4088 5101  2  0 98  0  0	
 1  0      0 520325120 124708 2613776    0    0   232 34253 4181 5100  2  0 98  0  0	
